AreaCode,Year,OwnerPct,RentalPct,SubsidizedPct
0913,2016,36.3,54.1,1.3
0913,2017,36.3,54.4,1.3
0913,2018,35.8,54.6,1.6
0913,2019,35.9,54.8,1.7
0913,2020,37.2,54.4,1.5
0913,2021,35.9,54.6,1.7
0913,2022,35.3,55.6,1.6
0913,2023,35.1,55.3,1.9
0913,2024,34.7,55.5,1.9
091301,2015,36.3,52.0,1.4
091301,2016,35.5,51.7,2.2
091301,2017,35.3,52.5,2.2
091301,2018,35.0,52.0,3.1
091301,2019,35.5,52.1,3.2
091301,2020,36.7,52.2,2.5
091301,2021,35.9,51.5,2.6
091301,2022,35.2,53.6,1.9
091301,2023,35.4,52.8,1.8
091301,2024,34.9,53.4,2.0
091100,2015,,,
091100,2016,,,
091100,2017,,,
091100,2018,,,
091100,2019,,,
091100,2020,,,
091100,2021,,,
091100,2022,,,
091100,2023,,,
091100,2024,,,
091101,2015,38.0,51.0,2.5
091101,2016,37.1,51.6,2.5
091101,2017,36.9,52.0,2.5
091101,2018,36.7,51.8,2.5
091101,2019,36.9,52.5,2.6
091101,2020,39.7,51.0,2.6
091101,2021,38.1,52.2,2.6
091101,2022,37.1,52.1,2.6
091101,2023,36.6,52.6,2.6
091101,2024,36.0,52.4,2.6
091102,2015,32.3,48.4,14.7
091102,2016,28.6,42.7,26.3
091102,2017,30.0,42.2,24.6
091102,2018,30.6,34.9,31.9
091102,2019,36.7,32.1,26.9
091102,2020,32.3,45.6,14.2
091102,2021,37.0,37.9,13.1
091102,2022,35.7,50.6,7.2
091102,2023,36.4,47.2,6.6
091102,2024,34.2,53.3,5.8
091103,2015,,,
091103,2016,,,
091103,2017,,,
091103,2018,69.2,17.9,0.0
091103,2019,33.5,55.6,8.4
091103,2020,37.4,53.7,5.4
091103,2021,36.4,53.8,3.6
091103,2022,36.1,56.1,3.5
091103,2023,38.9,54.3,3.1
091103,2024,39.0,49.2,6.1
091104,2015,,,
091104,2016,,,
091104,2017,,,
091104,2018,,,
091104,2019,,,
091104,2020,,,
091104,2021,,,
091104,2022,,,
091104,2023,,,
091104,2024,,,
091111,2015,40.8,44.6,0.0
091111,2016,41.0,43.6,0.0
091111,2017,40.3,46.4,0.0
091111,2018,40.5,46.2,0.0
091111,2019,41.1,46.0,0.0
091111,2020,43.1,44.8,0.0
091111,2021,41.4,46.0,0.0
091111,2022,41.1,47.6,0.0
091111,2023,41.0,48.9,0.0
091111,2024,40.6,48.2,0.0
091112,2015,36.7,52.8,0.0
091112,2016,36.0,52.8,0.0
091112,2017,35.8,53.6,0.0
091112,2018,35.8,53.5,0.0
091112,2019,35.6,53.7,0.0
091112,2020,37.1,53.5,0.0
091112,2021,36.1,53.4,0.0
091112,2022,35.5,53.2,0.0
091112,2023,35.5,52.4,0.0
091112,2024,35.6,52.3,0.0
091113,2015,33.9,54.9,0.0
091113,2016,33.3,55.0,0.0
091113,2017,33.2,55.7,0.0
091113,2018,32.0,57.2,0.0
091113,2019,32.3,58.0,0.0
091113,2020,33.9,57.0,0.0
091113,2021,31.3,58.1,0.0
091113,2022,30.8,58.7,0.0
091113,2023,30.7,58.6,0.0
091113,2024,30.6,58.7,0.0
091302,2015,37.5,50.2,0.0
091302,2016,37.8,51.1,0.0
091302,2017,37.5,52.2,0.0
091302,2018,37.0,52.4,0.0
091302,2019,37.0,53.4,0.0
091302,2020,38.2,52.4,0.0
091302,2021,36.4,52.8,0.0
091302,2022,35.8,54.4,0.0
091302,2023,35.7,54.8,0.0
091302,2024,35.5,53.7,0.0
091121,2015,36.1,51.4,0.0
091121,2016,36.2,52.3,0.0
091121,2017,36.1,53.2,0.0
091121,2018,35.6,53.4,0.0
091121,2019,35.5,54.4,0.0
091121,2020,36.4,53.6,0.0
091121,2021,34.6,53.5,0.0
091121,2022,33.9,55.8,0.0
091121,2023,33.5,56.4,0.0
091121,2024,33.2,55.0,0.0
091122,2015,39.9,48.1,0.0
091122,2016,40.5,49.1,0.0
091122,2017,39.9,50.3,0.0
091122,2018,39.4,50.7,0.0
091122,2019,39.5,51.9,0.0
091122,2020,41.4,50.3,0.0
091122,2021,39.6,51.4,0.0
091122,2022,39.1,51.9,0.0
091122,2023,39.6,52.0,0.0
091122,2024,39.5,51.6,0.0
091303,2015,34.1,58.1,1.4
091303,2016,34.5,58.1,1.4
091303,2017,35.1,57.0,1.4
091303,2018,35.5,57.0,1.3
091303,2019,35.5,57.1,1.3
091303,2020,36.9,56.7,1.3
091303,2021,34.9,58.2,1.3
091303,2022,34.5,58.6,1.3
091303,2023,34.6,58.5,1.3
091303,2024,34.7,57.6,1.3
091210,2015,,,
091210,2016,,,
091210,2017,,,
091210,2018,,,
091210,2019,,,
091210,2020,,,
091210,2021,,,
091210,2022,,,
091210,2023,,,
091210,2024,,,
091211,2015,34.8,56.0,3.8
091211,2016,34.7,56.1,3.8
