Quarter,Postal code,Building type,Price per square meter (EUR/m2),"Number of sales, asset transfer tax data starting from 2020",PostalCode,Year,Population,AverageIncome
2015Q1,00680  It�-Pakila (Helsinki),Terraced houses total,,6.0,00680,2015,3639.0,33629.0
2015Q1,00690  Torpparinm�ki (Helsinki),"Blocks of flats, one-room flat",,,00690,2015,2779.0,29408.0
2015Q1,00690  Torpparinm�ki (Helsinki),"Blocks of flats, two-room flat",,,00690,2015,2779.0,29408.0
2015Q1,00690  Torpparinm�ki (Helsinki),"Blocks of flats, three-room flat+",,,00690,2015,2779.0,29408.0
2015Q1,00690  Torpparinm�ki (Helsinki),Terraced houses total,,1.0,00690,2015,2779.0,29408.0
2015Q1,00700  Malmi (Helsinki),"Blocks of flats, one-room flat",3910.0,13.0,00700,2015,13176.0,22279.0
2015Q1,00700  Malmi (Helsinki),"Blocks of flats, two-room flat",3618.0,15.0,00700,2015,13176.0,22279.0
2015Q1,00700  Malmi (Helsinki),"Blocks of flats, three-room flat+",2681.0,16.0,00700,2015,13176.0,22279.0
2015Q1,00700  Malmi (Helsinki),Terraced houses total,,6.0,00700,2015,13176.0,22279.0
2015Q1,00710  Pihlajam�ki - Viikinm�ki (Helsinki),"Blocks of flats, one-room flat",3706.0,9.0,00710,2015,12306.0,21996.0
2015Q1,00710  Pihlajam�ki - Viikinm�ki (Helsinki),"Blocks of flats, two-room flat",2585.0,19.0,00710,2015,12306.0,21996.0
2015Q1,00710  Pihlajam�ki - Viikinm�ki (Helsinki),"Blocks of flats, three-room flat+",2473.0,12.0,00710,2015,12306.0,21996.0
2015Q1,00710  Pihlajam�ki - Viikinm�ki (Helsinki),Terraced houses total,,6.0,00710,2015,12306.0,21996.0
2015Q1,00720  Pukinm�ki (Helsinki),"Blocks of flats, one-room flat",3815.0,7.0,00720,2015,8554.0,22886.0
2015Q1,00720  Pukinm�ki (Helsinki),"Blocks of flats, two-room flat",3147.0,9.0,00720,2015,8554.0,22886.0
